stage,date,distance,origin,destination,type,winner,winner_country,year
1,2017-07-01,14,Düsseldorf,Düsseldorf,individual time trial,Geraint Thomas,GBR,2017
2,2017-07-02,203.5,Düsseldorf,Liège,flat stage,Marcel Kittel,GER,2017
3,2017-07-03,212.5,Verviers,Longwy,medium mountain stage,Peter Sagan,SVK,2017
4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,flat stage,Arnaud Démare,FRA,2017
5,2017-07-05,160.5,Vittel,La Planche des Belles Filles,medium mountain stage,Fabio Aru,ITA,2017
6,2017-07-06,216,Vesoul,Troyes,flat stage,Marcel Kittel,GER,2017
7,2017-07-07,213.5,Troyes,Nuits-Saint-Georges,flat stage,Marcel Kittel,GER,2017
8,2017-07-08,187.5,Dole,Station des Rousses,medium mountain stage,Lilian Calmejane,FRA,2017
9,2017-07-09,181.5,Nantua,Chambéry,high mountain stage,Rigoberto Urán,COL,2017
10,2017-07-11,178,Périgueux,Bergerac,flat stage,Marcel Kittel,GER,2017
11,2017-07-12,203.5,Eymet,Pau,flat stage,Marcel Kittel,GER,2017
12,2017-07-13,214.5,Pau,Peyragudes,high mountain stage,Romain Bardet,FRA,2017
13,2017-07-14,101,Saint-Girons,Foix,high mountain stage,Warren Barguil,FRA,2017
14,2017-07-15,181.5,Blagnac,Rodez,medium mountain stage,Michael Matthews,AUS,2017
15,2017-07-16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,medium mountain stage,Bauke Mollema,NED,2017
16,2017-07-18,165,Le Puy-en-Velay,Romans-sur-Isère,medium mountain stage,Michael Matthews,AUS,2017
17,2017-07-19,183,La Mure,Serre Chevalier,high mountain stage,Primož Roglič,SLO,2017
18,2017-07-20,179.5,Briançon,Col d'Izoard,high mountain stage,Warren Barguil,FRA,2017
19,2017-07-21,222.5,Embrun,Salon-de-Provence,flat stage,Edvald Boasson Hagen,NOR,2017
20,2017-07-22,22.5,Marseille,Marseille,individual time trial,Maciej Bodnar,POL,2017
21,2017-07-23,103,Montgeron,Paris,flat stage,Dylan Groenewegen,NED,2017
1,2016-07-02,188,Mont Saint-Michel,Utah Beach,flat stage,Mark Cavendish,GBR,2016
2,2016-07-03,183,Saint-Lô,Cherbourg-en-Cotentin,flat stage,Peter Sagan,SVK,2016
3,2016-07-04,223.5,Granville,Angers,flat stage,Mark Cavendish,GBR,2016
4,2016-07-05,237.5,Saumur,Limoges,flat stage,Marcel Kittel,GER,2016
5,2016-07-06,216,Limoges,Le Lioran,medium mountain stage,Greg Van Avermaet,BEL,2016
6,2016-07-07,190.5,Arpajon-sur-Cère,Montauban,flat stage,Mark Cavendish,GBR,2016
7,2016-07-08,162.5,L'Isle-Jourdain,Lac de Payolle,medium mountain stage,Steve Cummings,GBR,2016
8,2016-07-09,184,Pau,Bagnères-de-Luchon,high mountain stage,Chris Froome,GBR,2016
9,2016-07-10,184.5,Vielha Val d'Aran,Andorra-Arcalis,high mountain stage,Tom Dumoulin,NED,2016
10,2016-07-12,197,Escaldes-Engordany,Revel,medium mountain stage,Michael Matthews,AUS,2016
11,2016-07-13,162.5,Carcassonne,Montpellier,flat stage,Peter Sagan,SVK,2016
